Configuraçao,Tamanho,nGerações,Tempo de Treinamento
hom-
ORS,2x2,387,159.774
hom-
ORS,4x4,407,235.353
hom-
ORS,8x8,305,520.542
het-
ORS,2x2,367,171.116
het-
ORS,4x4,349,227.973
het-
ORS,8x8,1323,1899.91
