Configuraçao,Tamanho,nGerações,Tempo de Treinamento
hom-
ORS,2x2,278,123.156
hom-
ORS,4x4,377,233.141
hom-
ORS,8x8,209,295.208
hom-
ORS,10x10,724,1674.78
het-
ORS,2x2,200,91.6785
het-
ORS,4x4,801,471.744
het-
ORS,8x8,790,1105.63
het-
ORS,10x10,842,1942.06
hom-
OR,2x2,539,224.32
hom-
OR,4x4,315,181.135
hom-
OR,8x8,262,364.853
hom-
OR,10x10,308,706.61
het-
OR,2x2,613,258.087
het-
OR,4x4,479,277.187
het-
OR,8x8,721,996.493
het-
OR,10x10,260,603.898
